Name,Pos,Bats,Thr,Prev Team,Age,Service Time,2023 WAR,Proj WAR,Med Years,Med Total,Med AAV,QO,Signing Team,Years,Total Salary,AAV,,playerid
Phil Maton,RP,R,R,HOU,31,6.047,0.59410888,-0.105259389,,0,,,TBR,1,6500000,6500000,,18064
Randal Grichuk,LF/RF/CF,R,R,LAA,32,9.033,0.55264622,0.16953887,,0,,,ARI,1,2000000,2000000,,10243
Chris Devenski,RP,R,R,TBR,33,7.020,0.54650569,0.054440044,,0,,,TBR,1,1100000,1100000,,12763
Shelby Miller,RP,R,R,LAD,33,8.016,0.518453956,0.164701059,,0,,,DET,1,3250000,3250000,,10197
Isiah Kiner-Falefa,SS/3B/LF/CF,R,R,NYY,29,6.000,0.516920388,1.094827414,,0,,,TOR,2,15000000,7500000,,16512
Paul DeJong,SS,R,R,SFG,30,6.057,0.504445553,0.467558354,,0,,,CHW,1,1750000,1750000,,18015
Gio Urshela,3B/1B/SS,R,R,LAA,32,6.127,0.497722298,0.978042662,,0,,,DET,1,1500000,1500000,,10681
Gio Urshela,3B/1B/SS,R,R,LAA,32,6.127,0.497722298,0.978042662,,0,,,ATL,1,163118,163118,,10681
Luke Weaver,SP,R,R,NYY,30,6.112,0.487057984,0.362370074,,0,,,NYY,1,2000000,2000000,,16918
Andrew Chafin,RP,R,L,MIL,34,9.020,0.482467264,0.332818568,,0,,,DET,1,4750000,4750000,,12988
Joe Jiménez,RP,R,R,ATL,29,6.061,0.47264713,0.3951011,,0,,,ATL,3,26000000,8666666.667,,15761
Brad Hand,RP,L,L,ATL,34,10.092,0.472304463,0.047680687,,0,,,,,,,,9111
Lance Lynn,SP,S,R,LAD,37,12.119,0.457522213,2.112291336,1,10000000,10000000,,STL,1,11000000,11000000,,2520
Tim Locastro,CF/LF/RF,R,R,NYM,31,4.122,0.447728515,-0.011818809,,0,,,NYM,1,0,,,15124
Adam Frazier,2B,L,R,BAL,32,7.075,0.432798535,0.553093195,1,6000000,6000000,,KCR,1,4500000,4500000,,15223
Jake Diekman,RP,R,L,TBR,37,11.050,0.431977928,0.255647212,,0,,,NYM,1,4000000,4000000,,5003
Luke Maile,C,R,R,CIN,33,6.148,0.423323244,0.378025144,,0,,,CIN,1,3500000,3500000,,13355
Carl Edwards Jr.,RP,R,R,WSN,32,6.169,0.412644714,-0.000183027,,0,,,CHC,1,0,,,13607
Amed Rosario,SS/2B,R,R,LAD,28,6.062,0.41183129,1.245104909,2,18000000,9000000,,TBR,1,1500000,1500000,,15518
Garrett Cooper,1B/DH,R,R,SDP,33,6.053,0.411714584,0.099565126,,0,,,CHC,1,733871,733871,,15279
Austin Pruitt,RP,R,R,OAK,34,5.034,0.408033222,-0.002231886,,0,,,TEX,1,0,,,15290
Michael Fulmer,RP,R,R,CHC,31,7.157,0.387936711,0.003822509,,0,,,BOS,1,0,,,13218
Robbie Grossman,LF/RF,S,L,TEX,34,9.060,0.384977341,0.061437599,,0,,,CHW,1,1435484,1435484,,5254
Jake Marisnick,CF/RF/LF,R,R,LAD,33,9.052,0.384792268,-0.003645624,,0,,,LAA,1,0,,,11339
Bryan Shaw,RP,S,R,CHW,36,11.069,0.382261157,-0.060436796,,0,,,CHW,1,137097,137097,,8110
Tyler Mahle,SP,R,R,MIN,29,6.018,0.373107046,0.604068875,,0,,,TEX,2,22000000,11000000,,16358
Brandon Crawford,SS,L,R,SFG,37,12.094,0.363429129,0.364481509,1,8000000,8000000,,STL,1,2000000,2000000,,5343
Martín Pérez,SP,L,L,TEX,33,11.038,0.360995561,1.201096058,1,8000000,8000000,,PIT,1,8000000,8000000,,6902
Hunter Renfroe,RF/LF,R,R,CIN,32,6.165,0.360232979,0.701927364,1,8000000,8000000,,KCR,2,13000000,6500000,,15464
John Brebbia,RP,L,R,SFG,34,6.078,0.329572082,0.206010878,,0,,,CHW,1,5500000,5500000,,12777
John Brebbia,RP,L,R,SFG,34,6.078,0.329572082,0.206010878,,0,,,ATL,1,,,,12777
Julio Teheran,SP,R,R,MIL,33,10.020,0.328054041,-0.000139139,,0,,,NYM,1,94086,94086,,6797
Derek Law,RP,R,R,CIN,33,4.081,0.323202193,0.129286438,,0,,,WSN,1,1500000,1500000,,13133
Brian Anderson,3B/RF,R,R,MIL,31,6.031,0.303569019,0.00194742,,0,,,SEA,1,0,,,18289
Dakota Hudson,SP,R,R,STL,29,4.156,0.300459266,0.606055737,,0,,,COL,1,1500000,1500000,,19206
Kevin Pillar,RF/LF/CF,R,R,ATL,35,9.072,0.274253964,0.01519544,,0,,,CHW,1,172043,172043,,12434
Kevin Pillar,RF/LF/CF,R,R,ATL,35,9.072,0.274253964,0.01519544,,0,,,LAA,1,608710,608710,,12434
Rafael Ortega,CF/RF/LF,L,R,NYM,33,3.035,0.261256486,0.00171518,,0,,,CHW,1,0,,,10323
Zach Plesac,SP,R,R,CLE,29,3.121,0.243904799,0.338080853,,0,,,LAA,1,1000000,1000000,,19979
Evan Longoria,3B,R,R,ARI,38,15.170,0.24132669,0.256954849,,0,,,,,,,,9368
Tucker Barnhart,C,L,R,CHC,33,9.047,0.213856682,0.260696024,,0,,,ARI,1,409785,409785,,10200
Alex Wood,SP,R,L,SFG,33,10.123,0.213450283,0.90069294,1,7000000,7000000,,OAK,1,8500000,8500000,,13781
Shintaro Fujinami,RP,R,R,BAL,30,1.000,0.210900813,0.229714304,,0,,,NYM,1,3350000,3350000,,31839
Aaron Loup,RP,L,L,LAA,36,11.040,0.189486995,0.103378274,,0,,,,,,,,10343
Austin Adams,RP,R,R,ARI,33,4.150,0.186380699,0.187036097,,0,,,NYM,1,800000,800000,,13801
Daniel Vogelbach,DH,L,R,NYM,31,5.138,0.182473317,0.06860856,,0,,,TOR,1,892473,892473,,14130
Chase Anderson,SP,R,R,COL,36,8.141,0.181033045,-0.086711563,,0,,,BOS,1,853495,853495,,6895
Billy McKinney,LF/RF/1B,L,L,NYY,29,3.087,0.180460572,0.002671525,,0,,,NYY,1,0,,,15654
Michael Pérez,C,L,R,NYM,31,3.095,0.172143266,0.018088991,,0,,,BAL,1,0,,,12977
Josh Staumont,RP,R,R,KCR,30,4.072,0.171094224,0.257121861,,0,,,MIN,1,950000,950000,,18335
Adam Kolarek,RP,L,L,NYM,35,3.060,0.170059741,-0.036453292,,0,,,LAA,1,900000,900000,,10843
Kolby Allard,SP,L,L,ATL,26,3.162,0.167609692,0.211478606,,0,,,PHI,1,1000000,1000000,,18694
Dallas Keuchel,SP,L,L,MIN,36,10.008,0.159556121,0.225043193,,0,,,MIL,1,177419,177419,,9434
Chasen Shreve,RP,L,L,CIN,33,7.059,0.159375548,0.00033479,,0,,,TEX,1,0,,,10855
Austin Wynns,C,R,R,COL,33,3.090,0.149878129,0.033505578,,0,,,CIN,1,900000,900000,,15271
Matt Barnes,RP,R,R,MIA,34,8.110,0.138901621,0.121003158,,0,,,WSN,1,451613,451613,,12863
Michael Chavis,1B/3B/2B,R,R,WSN,28,4.089,0.127457246,0.000422836,,0,,,SEA,1,0,,,17321
Keynan Middleton,RP,R,R,NYY,30,6.023,0.125933811,0.202580228,,0,,,STL,1,6000000,6000000,,15264
Jay Jackson,RP,R,R,TOR,36,2.028,0.117765486,0.265007317,,0,,,MIN,1,1500000,1500000,,7432
Ty Blach,SP,R,L,COL,33,3.135,0.113653459,0.057738971,,0,,,COL,1,0,,,14361
Luis García,RP,R,R,SDP,37,8.007,0.107536063,0.426700115,,0,,,LAA,1,4250000,4250000,,6984
Jacob Barnes,RP,R,R,STL,34,5.112,0.098349273,0.009045712,,0,,,WSN,1,0,,,12323
Jacob Barnes,RP,R,R,STL,34,5.112,0.098349273,0.009045712,,0,,,WSN,1,800000,800000,,12323
Nick Ahmed,SS,R,R,ARI,34,9.046,0.09330526,0.284815043,,0,,,SFG,1,429677,429677,,12147
Ryne Stanek,RP,R,R,HOU,32,6.038,0.069852062,0.248585179,,0,,,SEA,1,4000000,4000000,,15947
Jonathan Davis,CF/LF/RF,R,R,MIA,32,3.035,0.059656117,0.000382541,,0,,,MIA,1,0,,,15104
Michael Tonkin,RP,R,R,ATL,34,3.074,0.056667816,0.185911804,,0,,,NYM,1,1000000,1000000,,10315
Trey Wingenter,RP,R,R,DET,30,4.017,0.054594822,0.124442317,,0,,,DET,1,0,,,17793
Daniel Hudson,RP,R,R,LAD,37,13.106,0.049154274,0.453808486,,0,,,LAD,1,2000000,2000000,,7146
Yasmani Grandal,C,S,R,CHW,35,11.115,0.043604963,0.777160347,1,6000000,6000000,,PIT,1,2500000,2500000,,11368
Nick Wittgren,RP,R,R,KCR,33,6.077,0.03987835,-0.139485806,,0,,,,,,,,15594
Joey Votto,1B,L,R,CIN,40,16.027,0.023658466,-0.08766111,,0,,,TOR,1,0,,,4314
Andrew Knizner,C,R,R,STL,29,4.021,0.0215504,0.108138748,,0,,,TEX,1,1825000,1825000,,19514
Shane Greene,RP,R,R,CHC,35,7.030,0.019146893,-0.004777515,,0,,,TEX,1,0,,,10756
Frankie Montas,SP,R,R,NYY,31,6.015,0.006632674,2.08009243,1,8000000,8000000,,CIN,1,16000000,16000000,,14309
Tyler Duffey,RP,R,R,CHC,33,6.026,-0.007616076,0.001473412,,0,,,KCR,1,1081989,1081989,,13758
Raimel Tapia,RF/LF/CF,L,L,TBR,30,5.144,-0.008858826,0.02021772,,0,,,,,,,,14350
Anthony Bass,RP,R,R,TOR,36,8.088,-0.015376644,0.092404231,,0,,,,,,,,7982
Jake Lamb,1B/3B,L,R,LAA,33,8.010,-0.016052082,-0.00043623,,0,,,PIT,1,0,,,13329
Joely Rodríguez,RP,L,L,BOS,32,4.096,-0.025081752,0.215234026,,0,,,BOS,1,282258,282258,,11487
José Cisnero,RP,R,R,DET,35,6.020,-0.027077403,0.274397075,,0,,,LAA,1,1750000,1750000,,6399
Tony Kemp,2B/LF,L,R,OAK,32,6.098,-0.029428454,0.203735337,,0,,,BAL,1,91398,91398,,14894
Manny Piña,C,R,R,OAK,37,8.002,-0.031526595,0.244957432,,0,,,,,,,,2829
Dominic Smith,1B,L,L,WSN,29,5.081,-0.031553641,0.2121692,,0,,,CHC,1,0,,,15653
Kevin Newman,SS/2B/3B,R,R,CIN,30,5.046,-0.032722495,0.002267451,,0,,,ARI,1,0,,,17696
Kevin Newman,SS/2B/3B,R,R,CIN,30,5.046,-0.032722495,0.002267451,,0,,,ARI,1,800000,800000,,17696
John Curtiss,RP,R,R,NYM,31,3.137,-0.037865121,-0.025706815,,0,,,COL,1,0,,,16128
Spencer Turnbull,SP,R,R,DET,31,5.020,-0.051454693,0.924132049,,0,,,PHI,1,2000000,2000000,,16207
Liam Hendriks,RP,R,R,CHW,35,9.164,-0.05848404,0.126764312,,0,,,BOS,2,10000000,5000000,,3548
Adam Ottavino,RP,S,R,NYM,38,12.087,-0.070763446,0.096720383,,0,,,NYM,1,4500000,4500000,,1247
Austin Meadows,RF/LF,L,L,DET,29,5.074,-0.077776849,0.205093399,,0,,,,,,,,15672
Brad Miller,1B/3B/LF,L,R,TEX,34,10.004,-0.080709055,-0.001987128,,0,,,SDP,1,0,,,12775
Roberto Pérez,C,R,R,SFG,35,9.083,-0.083819844,0.129726708,,0,,,BOS,1,0,,,2900
Matt Bowman,RP,R,R,NYY,33,4.043,-0.094847664,-0.050449211,,0,,,MIN,1,0,,,13528
Matt Bowman,RP,R,R,NYY,33,4.043,-0.094847664,-0.050449211,,0,,,BAL,1,800000,800000,,13528
Sam Coonrod,RP,R,R,NYM,31,4.078,-0.108224981,-0.109473027,,0,,,,,,,,17264
Francisco Mejía,C,S,R,TBR,28,5.042,-0.112405568,0.013053995,,0,,,LAA,1,0,,,16403
Richard Bleier,RP,L,L,BOS,37,7.035,-0.11710155,0.157582611,,0,,,WSN,1,0,,,7803
Ben Gamel,RF/LF,L,L,SDP,32,6.056,-0.119996041,0.001479905,,0,,,NYM,1,0,,,12160
Ben Gamel,RF/LF,L,L,SDP,32,6.056,-0.119996041,0.001479905,,0,,,NYM,1,800000,800000,,12160
Tommy La Stella,2B/3B/1B,L,R,SEA,35,8.092,-0.122542389,-0.001310454,,0,,,,,,,,12371
Brett Phillips,CF/RF/LF,L,R,LAA,30,4.060,-0.128569588,-0.001487602,,0,,,CHW,1,0,,,14735
Darin Ruf,1B/DH,R,R,MIL,37,6.138,-0.138153121,-0.030141534,,0,,,,,,,,9929
Mychal Givens,RP,R,R,BAL,34,8.040,-0.141344845,-0.220767453,,0,,,MIA,1,0,,,10430
Kirby Yates,RP,L,R,ATL,37,9.021,-0.154865324,0.120531276,1,3000000,3000000,,TEX,1,4500000,4500000,,9073
Zach McAllister,RP,R,R,NYY,36,6.069,-0.159504965,0.066134706,,0,,,,,,,,2895
Chad Wallach,C,R,R,LAA,32,4.018,-0.163649604,0.010251102,,0,,,LAA,1,0,,,17161
Jordan Luplow,RF/LF/1B,R,R,MIN,30,5.025,-0.165345803,0.023489907,,0,,,ATL,1,0,,,16424
Brad Keller,SP,R,R,KCR,28,6.000,-0.168702975,0.159648448,,0,,,CHW,1,0,,,15734
Brad Boxberger,RP,R,R,CHC,36,10.033,-0.174535125,-0.204085559,,0,,,,,,,,10133
Tim Anderson,SS/2B,R,R,CHW,31,7.115,-0.188793316,1.405539751,1,8000000,8000000,,MIA,1,5000000,5000000,,15172
David Dahl,RF/LF,L,R,SDP,30,4.166,-0.209946051,-0.0051895,,0,,,PHI,1,0,,,13744
Diego Castillo,RP,R,R,SEA,30,4.150,-0.219139248,-0.004369053,,0,,,TEX,1,0,,,17496
David Peralta,LF/RF,L,L,LAD,36,9.120,-0.219966352,-0.004927875,,0,,,CHC,1,0,,,2136
David Peralta,LF/RF,L,L,LAD,36,9.120,-0.219966352,-0.004927875,,0,,,SDP,1,800000,800000,,2136
Amir Garrett,RP,R,L,KCR,32,6.035,-0.220334738,0.001455284,,0,,,SFG,1,0,,,14375
Tyler Naquin,RF/LF/CF,L,R,CHW,33,6.039,-0.228551269,-0.107487276,,0,,,,,,,,13359
Hunter Dozier,3B/1B/LF/RF,R,R,KCR,32,5.118,-0.230965883,-0.000118663,,0,,,LAA,1,0,,,15117
Adam Engel,CF/LF/RF,R,R,SDP,32,5.114,-0.231970266,-0.001984739,,0,,,,,,,,15082
Ehire Adrianza,3B/SS/2B,S,R,ATL,34,9.131,-0.23655735,-0.009599178,,0,,0,LAA,1,0,,,8418
Trayce Thompson,LF/RF/CF,R,R,CHW,33,4.010,-0.251712501,0.001224437,,0,,,NYM,1,0,,,9952
Matt Duffy,3B/2B/1B,R,R,KCR,33,8.059,-0.252598763,0.000701189,,0,,,TEX,1,0,,,13836
Curt Casali,C,R,R,CIN,35,7.151,-0.266661465,0.00067162,,0,,,MIA,1,0,,,12510
Curt Casali,C,R,R,CIN,35,7.151,-0.266661465,0.00067162,,0,,,SFG,1,,,,12510
Hanser Alberto,2B/3B,R,R,CHW,31,6.152,-0.271990359,0.116669253,,0,,,,,,,,11902
Carlos Carrasco,SP,R,R,NYM,37,12.147,-0.276450783,0.632673025,,0,,,CLE,1,2000000,2000000,,6632
Erasmo Ramírez,RP,R,R,TBR,34,8.132,-0.277665555,-0.051364824,,0,,,TBR,1,0,,,10314
Yonny Chirinos,SP,R,R,ATL,30,5.114,-0.28231883,0.021554014,,0,,,MIA,1,0,,,16401
Jonathan Schoop,2B/3B,R,R,DET,32,9.132,-0.293070138,0.001067183,,0,,,,,,,,11265
Ryan Tepera,RP,R,R,STL,36,7.069,-0.321665108,-0.014381975,,0,,,,,,,,10291
